app,content,score
Netflix,"log in aja menguras emosi banget. Berkali2 di suruh coba lagi pada akhirnya harus nunggu lama untuk coba log in Ig. Padahal gk ada yg salah sm email n pass. Netflix minta pelanggan pada kabur ke applikasi lain mungkin. Udh bnyk keluhan yg sama, tapi gk ada perubahannya sama sekali 713 orang merasa ulasan ini berguna.",1
Netflix,"Ribet banget ini aplikasi ga seperti aplikasi film yg lain, masa masuk aja harus langganan dulu mana mahal semua harganya. Kalau aplikasi yg lain mau masuk ya tinggal masuk aja urusan VIP itu kan bisa belakangan, ini mh baru juga download baru masuk udah disuruh langganan aja padahal niatnya mau lihat-lihat dulu lho disitu ada film apa aja nanti kalau memang bagus baru langganan bukan malah disuruh langganan dulu baru bisa lihat-lihat aneh nih aplikasi",1
Netflix,"Mohon penjelasan dari Netflix, saya berlangganan tgl 110225 dan di tanggal 210225 saya tidak dapat mengakses Netflix, dan d minta untuk membayar ulang, sedangkan di penagihan berikutnya tertulis 110325, dan saat ini saya tidak bisa membuka Netflix, ketika saya menghubungi customer care hanya berbahasa Inggris. Tolong di perbaiki",1
Netflix,ga nyangka sekelas netflix pake auto translate?? padahal konteksnya artinya 'benar' tapi jadi 'kanan' 'nabung' jadi 'menyelamatkan' bikin bingung nontonya. duitnya di korup ga bisa bayar translator kah? udh mana naek terus harga premiumnya,1
Netflix,"cukup oke,dari kualitas yang bagus film yang Orisinal.tetapi ada suatu kekurangan yang membuat kurang nyaman yaitu film yang kurang lengkap seperti film mad max,fast and furious Tokyo drift itu belum ada,jadi saya berharap semoga cepat diperbaiki terimakasih",4
Netflix,Harusnya ada fitur kek apk sebelah bisa digunakan sebelum berlangganan. Kalo sudah terlanjur berlangganan tapi ternyata film yang kita cari tidak ada jadinya kan percuma,1
Netflix,"apk gak jelas, udah coba login selalu gak bisa, udah masukin email dan lain"" tetap gak bisa, alesanya jaringan gak stabil lah informasi tidak valid lah, gaje emang.",1
Netflix,"aneh banget tiba tiba-tiba saldo dana langsung di tarik di tambah penggunaan data nya boros banget, banyak film yang cuman subtitle Indonesia doang ga ada dubbing nya.",2
Netflix,"ini ga bisa ya bintang 0, sebel banget gak bisa login anjg, cuma bisa di laptop padahal kan ga kemana mana bawa laptop. pengen kaya biasa nonton di TV sama HP gabisa bisa login, suruh verif tapi ga muncul kode nya. apus aja lah ini aplikasi 🤕",1
Netflix,"setiap kali saya mencoba masukin email/nomor ponsel saat masuk di Netflix nya slalu GK bisa padahal email nya udh bener² loh saya juga udh berkali-kali pakein email saya terus tetep gak bisa terus pake kode masuk aja GK bisa email GK bisa padahal itu udah bener² loh, semoga ini nanti Netflix nya diperbaiki lagi ya.",1
Netflix,Semenjak update udh ga bisa di tonton lagi semuanya loading mulu padahal jaringan semua bagus dan yg di download pun juga sekarang ga bisa di tonton loading mulu ga mau keputer jadi rugi berlangganan sekarang netflix makin hancur semakin update semakin rusak,1
Netflix,Saya sih cukup puas dengan harga segitu untuk sebulan saya rasa sangat cukuplah. Tapi sayang koleksi filmnya kurang lengkap. Contohnya saya mencari film James bond dan tidak ada. Bagaimana ini netflix.....????....di lengkapi koleksinya dong.,5
Netflix,"buat daftar aja susah , masuk harus bayar dulu , akun email aja belum bisa masuk di Netflix. malah di suruh bayar ,, di bayar GK masuk akun nya sama aja. kek mna nya Netflix ini. GK jls. seharus nya masuk dulu akun nya di Netflix , walau pun GK bisa di tonton GK mslh karena harus bayar. tapi ini belum masuk udah bayar. aneh aplikasi nya",2
Netflix,apakah ada yang sama tentang bug di perangkat saya saat ingin menonton pasti stuck di loading hanya ada suara dan lama kelamaan di tunggu pasti restart ulang/reboat tapi di HP temen ku sih ga gitu di akun yang sama,1
Netflix,"Setelan bahasa arab, setiap langkah harus ubah bahasa. Tagihan sudah otomatis dibayar, tapi susah login, susah juga buat batalin, jadinya bayar langganan percuma.",1
Netflix,"Netflix keren banget, mulai dari kualitas streaming nya, UI smooth, yang kurang cuman film nya kurang lengkap aja, masih Ada beberapa film yang udah lama rilis di APLIKASI lain Ada di Netflix ga Ada",4
Netflix,"apalah ni baru nyoba pertama kali langganan udah dapet hal gaenak aja, sering kluar sendiri dari akun kadang klo pengen dicepetin loding lama banget hrs sgala instal ulang lgi sm masukin akun. kan bikin bt yg tadinya mau cari hiburan tapi klo dipersulit gini jadi ga mood.. tolong lah diperbaiki lagi pls!",2
Netflix,"Halah padahal udah bayar buat paket sebulan,pas mau masuk malah sandi salah padahal sudah benar,gimana ya ini penipuan atau apa!? Kecewa bgt niat mau nyoba eh malah langsung dibikin kecewa sama Netflix.",2
Netflix,Tampilan barunya netflix gak banget ampun bkin mls liatnya plis balikin ke seperti sebelumnya. Tampilannya plihan film trllu besar bkin sakit mata.niat scroll pilih film ke kanan malah pindah ke kiri bkin pusing,1
Netflix,"kakak developer tolong dong dubbing Indonesianya di setiap film dan serial Netflix nya , aku bakal langganan tiap bulannya dan aku kasih bintang 5 deh kalau udah hampir semua ada dubbing Indonesia nya😉",4
Netflix,"Netflix asu orang gak mau langganan kenapa dana ku masih ditarik sih, udah itu mau login gak bisa daftar lagi bayar lagi gimana sih Hilang 50k sia sia enak buat beli kuota Tolong perbaikannya dan dan aku yg hilang",1
Netflix,"Netflix saya layar nya hitam dan ngelek dan sudah cari bantuan tapi masih gak tolong saya main nya di HP pliss hilangkan masalah ini netflix, wifi saya udah lancar tapi masi sama aja layar hitam dan ngelek sudah matiin HP uninstall netflix dan udah cari bantuan di pengaturan di netflix tapi sama aja udah ngobrol sama titi tapi sama tolong plis tarik masalah ini",1
Netflix,"susah sekali mau bayar ulang klo akun sudah ditangguhkan...masa tiap bulan hrs langganan...giliran mau langganan ulang susah sekali ,gmn caranya..hrs ganti cara berlangganan lah..mau langganan ulang kok dipersulit..",1
Netflix,sumpahh cok. masak baru login ribet amat. disuruh apalah. apalagi email nihh. badahal gw udh kasik email gw yg bener gitu. tapi tetep aja gk bisa dan disuruh cobain lagi. apalah coba. yg tadinya mood gw ada sekarang malah gk mood. mending hapus aja lahh nihh aplikasi gk jelas dan rusak. (mohon di benerin ya😤🙏),1
Netflix,"Ini gimana netflik, aku udah daftar dan bayar lewat dana jadi keanggotaan, tetapi ketika keluar akun, dan mau masuk gak bisa, malah suruh bayar dan daftar lagi, uang udh hilang, gak bisa masuk, malah suruh bayar dan daftar lg,",1
Netflix,Eror login di tv android udh ganti jaringan. Udah update instalan. Masuk server berhasil semua tp gak bis adibuka di smart tv. Kesellll banget,1
Netflix,"setidaknya pihak developer kemudahan untuk menyediakan tampilan awal,untuk searching apakah tersedia apa yang di butuhkan, karna mendaftar perlu membayar setidaknya konsumen mengantongi kepastian dari apa yang di bayar",1
Netflix,Ternyata dibawah udah komen kalau udah bayar 54ribu untuk ke anggotaan tapi tetep gak bisa buka filmnya. Aku juga udah bayar 54ribu tapi tetep aja gak bisa buka. Mau mu apa sih Netflix? Balikin uang ku 54ribu aja lah daripada ribet. Gak cuma q aja tuh yg minta balik uangnya.😡😡😡😡,1
Netflix,"sinyal bagus, perangkat kelas atas, tapi kalo emang aplikasinya busuk mah busuk aja, sering banget mau nonton blank item doang, tau gitu gausah make netflix dah buang2 duit, better disney+",1
Netflix,"kok ngga bisa login ya? padahal udah coba berkali kali, ttp aja gabisa, bkin akun baru jg ngga bisa, alasannya selalu ""terjadi kesalahan, coba lagi nanti"" gajelas banget, masa daftar doang gabisa? pls kasih tau caranya gimana?",1
Netflix,"aku bener' kcewa sama netflix,cuma mau nonton ajah susah bgt buat login,plis deh knp sih ini.Udh coba berkali kali ttp ga bisa,tolong lah di perbaiki",1
Netflix,"Netflix sudah ga kaya dulu, login email + password sudah benar di bilang salah terus. Jadi nyesel instal Netflix lagi.",1
Netflix,"Netflixx GAK JELAS mau login gak bisa bisa udah dari duluu tetep aja gak bisa bisa , pdhal gak ada permasalahan apapun , kyk kyk seolah olah ak gak bisa bayar aja, dah deh gakjelas!",1
Netflix,"Saya sudah puas tapi terkadang ada bug di resolusi saat pemutaran film yang dimana gambar nya malah beralih ke 480P, padahal saya berlangganan yang 720P jadi saya harus refresh terlebih dahulu agar resolusi gambar kembali ke 720P tolong Bug ini diperbaiki secepatnya berlaku juga untuk TV dll.",5
Netflix,"Kenapa dengan netflix, tiba2 film yg sementara di nonton tidak bisa di nonton lagi, bahkan ada yg ongoing tidak bisa juga, dan film yg udah di list tidak bisa nonton, mohon diperbaiki secapatnya. Agar tidak rugi saat berlangganan",1
Netflix,ada yang pernah keluar sendri gak . pas lagi nonton gitu. trus login lagi gak bisa malah di lanjut kan ke menu pembayaran.,1
Netflix,saya sudah mencoba mendaftar beberapa kali dengan akun google yang berbeda-beda namun tidak bisa padahal saya belum pernah mendaftarkan akun google itu ke netflix tolong bantuannya,1
Netflix,"aplikasinya bobrok,,di Sruh login ke akun,,ulang"" smpe TPI nggk bisa,,aplikasi blum terpake sdh di Sruh upgrade..mau login sja susah banget..",1
Netflix,langganan gak sengaja itu malah gak tau kirain sudah berakhir langsung potong aja lewat ewallet gopay uang 65 berharga kaget saya konfirmasi dulu lah duh gmn batalinnya saya gak mau nonton Netflix udah sering banget potong bgth duh tolong balikin uang saya balikin tolong konfirmasi,1
Netflix,"mengapa saya tidak bisa masuk atau bikin akun? dan apa masalah nya,ini aplikasi sudah terkenal pesat di mana mana,jadi jangan begitulah caranya anj memang!!",1
Netflix,"ayolahhh ,jangan terlalu ketat sampe membatasi film yang lagi rame, malah gada di Netflix, kecewa GAKKK LENGKAPPP, Avenger, Justice league sedikit banget",2
Netflix,"kok pada ngeluh login ya padahal gw udah langganan dari 2023 sampe sekarang aman aman aja tuh sampe ganti device juga masih aman,, ya semoga gak sampe kayak yg lainya deh ,, mungkin yg susah login beli akun di toko online kali yaa wkwkwk",5
Netflix,"fitur'y lengkap, tp maaf yg di tv ga bisa kebuka² ya padahal film'y keren² sih terpaksa donlod apk'y via hp yg di tv ga bisa kebuka,sedih bgt",5
Netflix,"saya kasih 4 bintang, karena film-filmnya kurang lengkap, seperti Danur 3, Ivanna, terus film-film The Conjuring Univers. tolong dong Netflix film-filmnya lengkap 🙏🙏",4
Netflix,"apk nya bagus, kadang saya pke nonton anime atau film horor. Tapi kenapa kalau saya screenshot hasil hitam? tolong di perbaiki:))",5
Netflix,apk nya bagus cuman gabisa nonton bareng sekaligus di dua hp berbeda yaa apa harus beli devicenya dulu ya? tapi gimna caranya?,5
Netflix,aplikasi oke sekali tapi film nya sangat lama updatenya harus update film terus dong min biar kita semangat untuk berlangganan terus,5
Netflix,film bahasa indo nya kurang banyak anime bahasa indo nya juga kurang tidak tertata rapih dalam kategori bahasa indonesia nya,1
Netflix,Aduh udah langganan 720mp tapi layar tetep burik kalo sinyal jelek.minimal bisa di lock lah 720 kalo sekiranya ga mampu Ama sinyal loading juga GPP jangan di kasih yg burik 144mp 👎👎,2
Netflix,"tiba tiba logout, setiap mau login error, udah ganti kata sandi tetep gak bisa juga, pas login juga bilangnya ""maaf terjadi kesalahan, coba lagi nanti"" udah 5x nunggu dan coba tetep aja error",3
Netflix,"Tidak mengecewakan sama sekali selama pakai. Bisa nonton di hp or TV dan ga pernah ada kendala. Untuk model berlangganannya juga lbh enak yg kyk gini, bulanan drpd yg 3/6/12 bulanan. Jd klo bosen ga perlu byr lg, klo lg pengen bisa berlangganan lg.",5
Netflix,"Aplikasi buruk tidak sesuai dengan langganan film tidak upgrade ke yang baru, anime tidak update sesuai rilis terbaru, suka menagih langganan yang sudah dibatalkan dan tidak bisa refund, contact support sulit/ tidak bisa dihubungi sudah kayak penipu dan perampok saja aplikasi Netflix ini",2
Netflix,"kenapa apk nya suka log out sendiri? setelah log in lagi mapah disruh bayar lagi, tolong ya diatasi masalh begini,saya jadi rugi!!",2
Netflix,"Pengen kasih bintang 5.. Dari segi aplikasi Netflix msh jauh lebih unggul mnrt sya di banding aplikasi pesaing / sejenisnya... Tapi sebagai pelanggan lama sejak upgrade terbaru ini sering sekali terjadi gagal putar, pdhal sinyal bagus dan kuota bnyak... Mohon di benahi biar nonton nya lancar kembali...",3
Netflix,Akun saya dibatalkan sepihak dan Netflix tidak mau tanggungjawab. Cs atas nama tasya ini pemilik netflix atau bagaimana. Jawabannya seenaknya sendiri menuduh saya sharing akun dan seenaknnya bilang PERCUMA menghubungi netflix. Sangat lucu.,1
Netflix,"Oke di hp lancar,,,tapi pas mau nonton di smart tv error n-w 47,,server tidak bisa koneksi,tolong dong atasi masa saya g bisa nonton di smart tv,,,mls banget udh langganan tapi g bisa,,,kalau emang mau khusus di hp doang g usah ada langganan di semua platform,,aneh",1
Netflix,Sekarang nonton tv sebagian tidak ada suaranya sekalipun di hp nyala di TV bisu & gambar kadang jelek padahal settingan audio sudah posisi tepat..... Mahal tapi kurang berkualitas malah Disney hostar ada suaranya semua padahal lebih murah gambar lebih jernih internet kecepatan sama 30 mbps..... Perlu berpikir ulang,2
Netflix,"Kenapa sih Netflix kok gini, ga kyk dulu mau masuk aja susah email udah bener pass juga sudah, sampe bbrpa kali ganti ttp gini , *APLIKASI RUSAK TOLONG DI BENERIN, KAMI INI BAYAR*",1
Netflix,"ngelag mulu, udah dicoba di berbagai perangkat masih ngelag. Bahkan wifi juga ganti ganti masih tetap ngelag. Sekarang udah gabisa download pula.",1
Netflix,"Sudah 2 bulan masih belum ada perbaikan, ga bisa nonton di handphone. Videonya ngefreeze terus, cuma suara sama subtitle nya aja yang jalan, clear data sudah, uninstall sudah, parahh.",1
Netflix,Mohon judul film nya banyak yg dobel.. Jadi kelihatan bnyak film nya ..padahal cuman itu yg d ganti2.. Film nya kurang lengkap.. Sumpah parah.. Sdah berbayar lagi,1
Netflix,"Netflix tidak seperti dulu susah banget log in padahal email and pasword udah benar,tapi balik2 ke log in",1
